sep=;
Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 3

;SN: 2100342318;SN: 2100342318
;SB 5000TL-20;SB 5000TL-20
;2100342318;2100342318
;Total yield;Power
;Counter;Analog
dd/MM/yyyy hh:mm tt;kWh;kW
07/11/2010 03:30 PM;959.007;1.632
07/11/2010 03:35 PM;959.134;1.524
07/11/2010 03:40 PM;959.258;1.488
07/11/2010 03:45 PM;959.372;1.368
07/11/2010 03:50 PM;959.475;1.236
07/11/2010 03:55 PM;959.566;1.092
07/11/2010 04:00 PM;959.653;1.044
07/11/2010 04:05 PM;959.734;0.972
07/11/2010 04:10 PM;959.818;1.008
07/11/2010 04:15 PM;959.854;0.432
07/11/2010 04:20 PM;959.882;0.336
07/11/2010 04:25 PM;959.912;0.360
07/11/2010 04:30 PM;959.952;0.480
07/11/2010 04:35 PM;959.985;0.396
07/11/2010 04:40 PM;960.013;0.336
07/11/2010 04:45 PM;960.037;0.288
07/11/2010 04:50 PM;960.056;0.228
07/11/2010 04:55 PM;960.073;0.204
07/11/2010 05:00 PM;960.088;0.180
07/11/2010 05:05 PM;960.099;0.132
07/11/2010 05:10 PM;960.111;0.144
07/11/2010 05:15 PM;960.120;0.108
07/11/2010 05:20 PM;960.129;0.108
07/11/2010 05:25 PM;960.138;0.108
07/11/2010 05:30 PM;960.144;0.072
07/11/2010 05:35 PM;960.148;0.048
07/11/2010 05:40 PM;960.152;0.048
07/11/2010 05:45 PM;960.157;0.060
07/11/2010 05:50 PM;960.161;0.048
07/11/2010 05:55 PM;960.164;0.036
07/11/2010 06:00 PM;960.165;0.012
07/11/2010 06:05 PM;960.165;0.000
07/11/2010 06:10 PM;960.165;0.000
07/11/2010 06:15 PM;960.165;0.000
07/11/2010 06:20 PM;960.165;0.000
07/11/2010 06:25 PM;960.165;0.000
07/11/2010 06:30 PM;960.165;0.000
07/11/2010 06:35 PM;960.165;0.000
07/11/2010 06:40 PM;960.165;0.000
07/11/2010 06:45 PM;960.165;0.000
07/11/2010 06:50 PM;960.165;0.000
07/11/2010 06:55 PM;960.165;0.000
07/11/2010 07:00 PM;960.165;0.000
07/11/2010 07:05 PM;960.165;0.000
07/11/2010 07:10 PM;960.165;0.000
07/11/2010 07:15 PM;960.165;0.000
07/11/2010 07:20 PM;960.165;0.000
07/11/2010 07:25 PM;960.165;0.000
07/11/2010 07:30 PM;960.165;0.000
07/11/2010 07:35 PM;960.165;0.000
07/11/2010 07:40 PM;960.165;0.000
07/11/2010 07:45 PM;960.165;0.000
07/11/2010 07:50 PM;960.165;0.000
07/11/2010 07:55 PM;960.165;0.000
07/11/2010 08:00 PM;960.165;0.000
07/11/2010 08:05 PM;960.165;0.000
07/11/2010 08:10 PM;960.165;0.000
07/11/2010 08:15 PM;960.165;0.000
07/11/2010 08:20 PM;960.165;0.000
07/11/2010 08:25 PM;960.165;0.000
07/11/2010 08:30 PM;960.165;0.000
07/11/2010 08:35 PM;960.165;0.000
07/11/2010 08:40 PM;960.165;0.000
07/11/2010 08:45 PM;960.165;0.000
07/11/2010 08:50 PM;960.165;0.000
07/11/2010 08:55 PM;960.165;0.000
07/11/2010 09:00 PM;960.165;0.000
07/11/2010 09:05 PM;960.165;0.000
07/11/2010 09:10 PM;960.165;0.000
07/11/2010 09:15 PM;960.165;0.000
07/11/2010 09:20 PM;960.165;0.000
07/11/2010 09:25 PM;960.165;0.000
07/11/2010 09:30 PM;960.165;0.000
07/11/2010 09:35 PM;960.165;0.000
07/11/2010 09:40 PM;960.165;0.000
07/11/2010 09:45 PM;960.165;0.000
07/11/2010 09:50 PM;960.165;0.000
07/11/2010 09:55 PM;960.165;0.000
07/11/2010 10:00 PM;960.165;0.000
07/11/2010 10:05 PM;960.165;0.000
07/11/2010 10:10 PM;960.165;0.000
07/11/2010 10:15 PM;960.165;0.000
07/11/2010 10:20 PM;960.165;0.000
07/11/2010 10:25 PM;960.165;0.000
07/11/2010 10:30 PM;960.165;0.000
07/11/2010 10:35 PM;960.165;0.000
07/11/2010 10:40 PM;960.165;0.000
07/11/2010 10:45 PM;960.165;0.000
07/11/2010 10:50 PM;960.165;0.000
07/11/2010 10:55 PM;960.165;0.000
07/11/2010 11:00 PM;960.165;0.000
07/11/2010 11:05 PM;960.165;0.000
07/11/2010 11:10 PM;960.165;0.000
07/11/2010 11:15 PM;960.165;0.000
07/11/2010 11:20 PM;960.165;0.000
07/11/2010 11:25 PM;960.165;0.000
07/11/2010 11:30 PM;960.165;0.000
07/11/2010 11:35 PM;960.165;0.000
07/11/2010 11:40 PM;960.165;0.000
07/11/2010 11:45 PM;960.165;0.000
07/11/2010 11:50 PM;960.165;0.000
07/11/2010 11:55 PM;960.165;0.000
